Kriteria,,A,B,C,D,E,F,G,,,,,,,,
,,Kecepatan transaksi,Biaya bahan baku,ukuran,berat,harga,berat campuran,jumlah stone,,,,,,,,
,,,,,,,,,,,,,,,,
Bobot Kriteria,,3,4,4,4,3,3,2,,,,,,,,
Alternatif,,benefit,cost,benefit,benefit,cost,benefit,benefit,,,Perankingan,Alternatif,Hasil Bobot,,,
BSFK 5702-SG,,2.25,0.970921,1.042902,6.816667,1.833333,4.4,2.25,,,3,BSFK 5702-SG,16.38710718,,,
BSFK 5702-S,,2.25,1.560802,1.680723,7.303571,0,4.714286,2.25,,,2,BSFK 5702-S,16.45939878,,,
BSFK 5702-S,,2.25,1.288111,1.63757,6.971591,0,4.4,2.25,,,1,BSFK 5702-S,16.46491128,,,
BSFK 5702-G,,2.25,0.824915,0.892222,6.260204,1.269231,4.4,0,,,4,BSFK 5702-G,14.47359822,,,
BSFK 5702-SL,,1.125,6.655068,2.866515,3.44663,0,4.714286,0,,,5,BSFK 5702-SL,10.8834526,,,
BSFK 5702-SL,,0.75,5.24889,2.733428,2.191072,0,4.4,0,,,6,BSFK 5702-SL,9.442927177,,,
NCPL 94,,1,72.34,,89,85.44,0,0,,,,,,,,
NCPL 84,,1,69.89,15,88,84.48,0,0,,,,,,,,
RSTR 5705-S,,1,15.34,7.5,11,25.89,0,54,,,,,,,,
RSTR 5704-S,,1,29.45,6.5,12,40.73,0,45,,,,,,,,
,NILAI MIN / MAX,2.25,0.824915,2.866515,7.303571,0,4.714286,2.25,,,,,,,,
,,,,,,,,,,,,,,,,
Normalisasi,,,,,,,,,,,,,,,,
BSFK 5702-SG,,1,0.849621133,0.363822272,0.933333434,0,0.933333277,1,,,,,,,,
BSFK 5702-S,,1,0.528519953,0.586329742,1,0,1,1,,,,,,,,
BSFK 5702-S,,1,0.640406766,0.571275573,0.954545523,0,0.933333277,1,,,,,,,,
BSFK 5702-G,,1,1,0.3112567,0.857142896,0,0.933333277,0,,,,,,,,
BSFK 5702-SL,,0.5,0.123952903,1,0.471910248,0,1,0,,,,,,,,
BSFK 5702-SL,,0.333333333,0.157159895,0.953571846,0.300000096,0,0.933333277,0,,,,,,,,
