JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,JUMLAH PEMESANAN PER 3 BULAN,BIAYA BAHAN BAKU,UKURAN (INCH),BERAT,HARGA
SILVER NECKLECES,NSBP 440,0,0,6,36.288,16,126,60.48
SILVER NECKLECES,NSBP 440,0,0,18,40.608,18,141,67.68
SILVER NECKLECES,NSBP 440,0,0,9,45.216,20,157,75.36
SILVER NECKLECES,NSOK 46,0,0,1,43.2,18,150,72
SILVER NECKLECES,NSOK 46,0,0,7,47.52,20,165,79.2
SILVER BRACELETS,BSRK 560,0,0,13,23.964,7,208,39.94
SILVER BRACELETS,BSRK 560,0,0,4,25.23,7.5,219,42.05
SILVER BRACELETS,BSRK 560,0,0,3,26.724,8,232,44.54
SILVER BRACELETS,BSBP 440,0,0,6,17.856,7.5,31,29.76
SILVER BRACELETS,BSOK 46,0,0,5,17.742,7,616,29.57
SILVER BRACELETS,BSOK 46,0,0,14,19.008,7.5,825,31.68
SILVER BRACELETS,BSOK 46,0,0,5,20.376,8,283,33.96
SILVER BRACELETS,BSTR 075-G,0,0,4,79.674,7.5,54,132.79
SILVER NECKLECES,NSRK 501,0,0,11,46.08,20,80,76.8
SILVER NECKLECES,NSRK 501,0,0,7,50.688,22,88,84.48
SILVER NECKLECES,NSRK 501,0,0,9,55.872,24,97,93.12
SILVER BRACELETS,BSBP 708,0,0,18,43.776,8,152,72.96
SILVER BRACELETS,BSBP 708,0,0,18,46.656,8.5,81,77.76
SILVER BRACELETS,BCHK 1040,0,0,9,62.208,8,432,103.68
SILVER BRACELETS,BCHK 1040,0,0,13,67.506,8.5,586,112.51
SILVER BRACELETS,BCHK 1040,0,0,19,70.272,9,122,117.12
SILVER BRACELETS,BCBP 682,0,0,6,29.232,7.5,203,48.72
SILVER BRACELETS,BCBP 682,0,0,7,30.912,8,161,51.52
SILVER BRACELETS,BCBP 682,0,0,13,32.832,8.5,228,54.72
SILVER BRACELETS,BSTR 681,0,0,7,29.952,7.5,364,49.92
SILVER BRACELETS,BSTR 681,0,0,3,32.064,8,167,53.44
SILVER BRACELETS,BSTR 681,0,0,4,33.696,8.5,117,56.16
SILVER BRACELETS,BSFB 074,0,0,14,37.728,8.5,131,62.88
SILVER BRACELETS,BCBP 68,0,0,16,29.568,7.5,154,49.28
SILVER BRACELETS,BCBP 68,0,0,3,31.68,8,165,52.8
SILVER BRACELETS,BCBP 68,0,0,11,33.024,8.5,172,55.04
SILVER BRACELETS,BCBP 68,0,0,20,33.6,9,115,56
SILVER BRACELETS,BSTR 379,0,0,8,49.92,8,260,83.2
SILVER BRACELETS,BSTR 379,0,0,9,52.608,8.5,274,87.68
SILVER BRACELETS,BSTR 379,0,0,6,55.296,9,288,92.16
SILVER BRACELETS,BFTN 126,0,0,10,66.24,9,115,110.4
SILVER BRACELETS,BTP 124,0,0,6,74.592,8,259,124.32
SILVER BRACELETS,BTP 124,0,0,14,80.064,8.5,278,133.44
SILVER BRACELETS,BTP 124,0,0,12,85.824,9,149,143.04
SILVER BRACELETS,BSKM 775,0,0,8,46.08,9,80,76.8
SILVER BRACELETS,BSTR 682,0,0,9,30.528,7.5,212,50.88
SILVER BRACELETS,BSTR 682,0,0,7,31.968,8,111,53.28
SILVER BRACELETS,BSTR 682,0,0,19,33.984,8.5,118,56.64
SILVER BRACELETS,BSTR 682,0,0,16,36,9,125,60
SILVER BRACELETS,BCBD 725,0,0,5,29.568,7,154,49.28
SILVER BRACELETS,BCBD 725,0,0,2,31.824,7.5,221,53.04
SILVER BRACELETS,BCBD 725,0,0,5,33.84,8,235,56.4
SILVER BRACELETS,BCBD 725,0,0,11,35.328,8.5,184,58.88
SILVER BRACELETS,BSTR 097,0,0,9,34.272,7,119,57.12
SILVER BRACELETS,BSTR 097,0,0,6,36.288,7.5,126,60.48
SILVER BRACELETS,BSTR 097,0,0,14,38.304,8,133,63.84
SILVER BRACELETS,BSTR 097,0,0,10,40.896,8.5,142,68.16
SILVER BRACELETS,BSFB 614,0,0,6,85.632,8,142,142.72
SILVER BRACELETS,BSFB 614,0,0,6,92.448,8.5,642,154.08
SILVER BRACELETS,BSFB 614,0,0,3,98.496,9,171,164.16
SILVER BRACELETS,BTP 1241,0,0,4,85.248,9,148,142.08
SILVER BRACELETS,BSAN 1845,0,0,8,60.48,7.5,105,100.8
SILVER BRACELETS,BSAN 1845,0,0,7,63.936,8,111,106.56
SILVER BRACELETS,NSRB 401,0,0,11,40.896,24,142,68.16
SILVER BRACELETS,BCKS 48,0,0,14,22.272,7.5,116,37.12
SILVER BRACELETS,BCKS 48,0,0,14,23.808,8,124,39.68
SILVER BRACELETS,BCKS 48,0,0,7,24.96,8.5,130,41.6
SILVER BRACELETS,BCKS 48,0,0,17,26.496,9,46,44.16
SILVER BRACELETS,BSBP 5711,0,0,1,26.208,7,91,43.68
SILVER BRACELETS,BSBP 5711,0,0,17,28.08,7.5,195,46.8
SILVER BRACELETS,BSBP 5711,0,0,14,29.952,8,156,49.92
SILVER BRACELETS,BSBP 5711,0,0,6,31.968,8.5,111,53.28
SILVER BRACELETS,BLKL 52,0,0,18,17.298,7.5,51,28.83
SILVER BRACELETS,BLKL 52,0,0,5,18.96,8,99,31.6
SILVER BRACELETS,BLKL 52,0,0,5,17.892,8.5,36,29.82
SILVER NECKLECES,NSRK 501,0,0,20,42.048,18,73,70.08
SILVER BRACELETS,BFTN 125,0,0,7,55.296,7.5,96,92.16
SILVER BRACELETS,BFTN 125,0,0,17,58.752,8,204,97.92
SILVER BRACELETS,BFTN 125,0,0,2,62.208,8,108,103.68
