NO,QTY,JENIS BARANG,KODE,BERAT CAMPURAN,JUMLAH STONE DIPAKAI,JUMLAH PEMESANAN PER 3 BULAN,BIAYA BAHAN BAKU,UKURAN (INCH),BERAT,HARGA,TOTAL
1,2,SILVER NECKLECES ,NSBP 440,0,0,39,80,16.00,126.00,60.48,120.96
2,2,SILVER NECKLECES ,NSBP 440,0,0,22,41,18.00,141.00,67.68,135.36
3,2,SILVER NECKLECES ,NSBP 440,0,0,43,59,20.00,157.00,75.36,150.72
4,2,SILVER NECKLECES ,NSOK 46,0,0,38,34,18.00,150.00,72.00,144.00
5,2,SILVER NECKLECES ,NSOK 46,0,0,45,44,20.00,165.00,79.20,158.40
6,5,SILVER BRACELETS,BSRK 560,0,0,7,64,7.00,208.00,39.94,199.68
7,5,SILVER BRACELETS,BSRK 560,0,0,40,60,7.50,219.00,42 .05,210.24
8,5,SILVER BRACELETS,BSRK 560,0,0,7,74,8.00,232.00,44.54,222.72
9,1,SILVER BRACELETS,BSBP 440,0,0,33,88,7.50,31.00,29.76,29.76
10,20,SILVER BRACELETS,BSOK 46,0,0,42,56,7.00,616.00,29.57,591.36
11,25,SILVER BRACELETS,BSOK 46,0,0,21,51,7.50,825.00,31.68,792.00
12,8,SILVER BRACELETS,BSOK 46,0,0,49,32,8.00,283.00,33.96,271.68
13,1,SILVER BRACELETS,BSTR 075-G,0,0,38,78,7.50,54.00,132.79,132.79
14,1,SILVER NECKLECES ,NSRK 501,0,0,21,83,20.00,80.00,76.80,76.80
15,1,SILVER NECKLECES ,NSRK 501,0,0,13,60,22.00,88.00,84.48,84.48
16,1,SILVER NECKLECES ,NSRK 501,0,0,22,31,24.00,97.00,93.12,93.12
17,2,SILVER BRACELETS,BSBP 708,0,0,14,18,8.00,152.00,72.96,145.92
18,1,SILVER BRACELETS,BSBP 708,0,0,18,67,8.50,81.00,77.76,77.76
19,4,SILVER BRACELETS,BCHK 1040,0,0,19,63,8.00,432.00,103.68,414.72
20,5,SILVER BRACELETS,BCHK 1040,0,0,12,21,8.50,586.00,112.51,562.56
21,1,SILVER BRACELETS,BCHK 1040,0,0,22,40,9.00,122.00,117.12,117.12
22,4,SILVER BRACELETS,BCBP 682,0,0,23,41,7.50,203.00,48.72,194.88
23,3,SILVER BRACELETS,BCBP 682,0,0,48,12,8.00,161.00,51.52,154.56
24,4,SILVER BRACELETS,BCBP 682,0,0,18,55,8.50,228.00,54.72,218.88
